PART_NO,ITEM_DESC,VOLUME,SURF_A,PC1,PC2,Distance
15-13116-003,"BRKT-REAR CLOSING X/M MTG,GALV",150513.0,44680.4,-0.36121171644001665,0.07992746172312756,0.6371417646079289
15-14543-000,"BRKT-SAFETY CHAIN,60K,3 HOLE",826085.0,105117.0,0.4353366199195943,0.4103944239861785,0.5199278323736383
15-15265-000,"BRKT-FWD,A/L,AL,195",2545710.0,298408.0,2.61503004019028,1.0994458346054576,2.636288286436873
15-17601-000,"BRKT-RECPT,G/HAND-SWIVEL,EOF",222129.0,109535.0,-0.051399140806795716,-0.1104125371511978,0.309267568857335
15-17899-000,"BRKT-ENG FRONT MTD,LH,50KSI",496818.0,169429.0,0.40867270482510093,-0.11223758545673929,0.15640895550472353
15-17899-001,"BRKT-ENG FRONT MTD,RH,50KSI",496818.0,169429.0,0.40867270482510093,-0.11223758545673929,0.15640895550472353
15-17899-002,"BRKT-ENG FRONT MTD,LH,50KSI",508903.0,173340.0,0.43383366871680645,-0.11723788566810452,0.1820541438591314
15-17899-003,"BRKT-ENG FRONT MTD,RH,50KSI",508904.0,173340.0,0.4338345028361147,-0.11723705154879628,0.18205477677240625
15-19882-000,"BRKT-MTG,BODY,FS65 W/BTR TNK",693930.0,225872.0,0.790729183194089,-0.1654642136511936,0.5417590023581734
15-20267-000,"BRKT-FWD FRM,AXLE FWD,X2,LH",5163230.0,585957.0,5.907129431445395,2.173994386797955,6.083074457132502
15-20313-000,"BRKT,OVERSLUNG XMBR OUTSIDE",320416.0,71135.2,-0.11748387907570747,0.11963837001714366,0.4225159698032306
15-20682-000,"BRKT-ENG XM,LH,LONG,10""RL",806338.0,272843.0,1.0656088331796794,-0.2528204972338305,0.8282097765754889
15-20682-001,"BRKT-ENG XM,RH,LONG,10""RL",806337.0,272843.0,1.0656079990603713,-0.2528213313531387,0.8282091377188839
15-20682-002,"BRKT-ENG XM,LH,LONG,11""RL",839601.0,283415.0,1.1341192784905456,-0.26584032144422837,0.8979258439462345
15-20682-003,"BRKT-ENG XM,RH,LONG,11""RL",839601.0,283415.0,1.1341192784905456,-0.26584032144422837,0.8979258439462345
15-20682-010,"BRKT-ENG XM,LH,LONG,11""RL,M112",839601.0,283415.0,1.1341192784905456,-0.26584032144422837,0.8979258439462345
